2yillik_Bolumler_aciklamali
Sehir;Id;bolum_adi;Tur;Universite;Fakülte;Ogrenim_sekli;Ozellik;2025_Taban_Puan;2025_Taban_Sıralama;2025_Kontenjan;2025_Dolu_Kontenjan;2025_Bos_Kontenjan;2025_Kontenjan_Orani;2025_Sıralama_Degisim_Orani;2025_Ucret;2024_TabanPuani;2024_TabanSıralama;2024_Kontenjan;2024_Dolu_Kontenjan;2024_Bos_Kontenjan;2024_Kontenjan_Orani;2024_Ucret;Aciklama
İstanbul;206552044;ACİL DURUM VE AFET YÖNETİMİ;Vakıf;Üsküdar Ü.;Sağlık Hizmetleri Meslek Y.O.;%50 İnd.;-;196,9940;2.227.000;54;54;0;%100,0;".
82.467";₺204.525,00;222,8332;2.144.533;46;46;-;%100,0;₺107.945,00;Acil Durum ve Afet Yönetimi programı, afet müdahalesi, risk yönetimi ve kriz iletişimi konularında uzmanlık kazandırır.  Mezuniyet sonrası kamu kurumları, özel sektördeki güvenlik firmaları ve uluslararası yardım kuruluşlarında çalışabilirsiniz.  Yardımseverlik, problem çözme ve analitik düşünme yeteneğiniz varsa bu bölüm size uygundur
İstanbul;207650838;ACİL DURUM VE AFET YÖNETİMİ;Vakıf;Biruni Ü.;Meslek Y.O.;%50 İnd.;-;195,6189;2.237.000;34;34;0;%100,0;98.293;₺220.000,00;223,1432;2.138.707;34;34;-;%100,0;₺140.800,00;Acil Durum ve Afet Yönetimi programı, afet müdahalesi, risk yönetimi ve kriz iletişimi konularında uzmanlık kazandırır.  Mezuniyet sonrası kamu kurumları, özel sektördeki güvenlik firmaları ve uluslararası yardım kuruluşlarında çalışabilirsiniz.  Yardımseverlik, problem çözme ve analitik düşünme yeteneğiniz varsa bu bölüm size uygundur
Genel;101051376;ACİL DURUM VE AFET YÖNETİMİ (AÖ);Devlet;Anadolu Ü.;Açıköğretim Fak.;A.Ö.;-;299,3270;859.200;1.000;"i
1.000";0;%100,0;-206.536;-;286,5776;1.065.736;1.200;1.200;-;%100,0;-;Acil Durum ve Afet Yönetimi (AÖ), afet önleme, müdahale ve iyileştirme stratejilerini kapsayan 2 yıllık bir programdır.  Mezunlar kamu kurumlarında, özel sektörde ve sivil toplum örgütlerinde görev alabilirler.  Yardımseverlik, problem çözme ve takım çalışması gibi hobileri olanlar için idealdir.
Genel;101490698;ACİL DURUM VE AFET YÖNETİMİ (AÖ);Devlet;Atatürk Ü.;Açık ve Uzaktan Öğretim Fak.;A.Ö.;-;288,4513;996.200;"l
1.200";1.200;0;%100,0;-264.318;-;273,6556;1.260.518;1.600;1.600;-;%100,0;-;Acil Durum ve Afet Yönetimi (AÖ), afet önleme, müdahale ve iyileştirme stratejilerini kapsayan 2 yıllık bir programdır.  Mezunlar kamu kurumlarında, özel sektörde ve sivil toplum örgütlerinde görev alabilirler.  Yardımseverlik, problem çözme ve takım çalışması gibi hobileri olanlar için idealdir.
Genel;101190341;ACİL DURUM VE AFET YÖNETİMİ (UÖ);Devlet;Ankara Ü.;Açık ve Uzaktan Eğitim Fak.;U.Ö.;-;"s
303,6224";808.500;100;100;0;%100,0;-42.024;-;302,5495;850.524;100;100;-;%100,0;-;Acil Durum ve Afet Yönetimi (UÖ) programı, afet önleme, müdahale ve iyileştirme süreçlerini kapsayan teorik ve pratik eğitim sunar.  Mezunlar kamu kurumlarında, özel sektörde ve uluslararası örgütlerde afet yönetimi uzmanlığı yapabilirler.  Yardımseverlik, problem çözme ve takım çalışması gibi hobileri olanlar için idealdir.
Genel;105650969;ACİL DURUM VE AFET YÖNETİMİ (UÖ);Devlet;İstanbul Ü.;Açık ve Uzaktan Eğitim Fak.;U.Ö.;-;293,5730;930.700;200;200;0;%100,0;-130.748;-;286,8849;1.061.448;200;200;-;%100,0;-;Acil Durum ve Afet Yönetimi (UÖ) programı, afet önleme, müdahale ve iyileştirme süreçlerini kapsayan teorik ve pratik eğitim sunar.  Mezunlar kamu kurumlarında, özel sektörde ve uluslararası örgütlerde afet yönetimi uzmanlığı yapabilirler.  Yardımseverlik, problem çözme ve takım çalışması gibi hobileri olanlar için idealdir.
Genel;108890242;ACİL DURUM VE AFET YÖNETİMİ (UÖ);Devlet;Sakarya Ü.;Adapazarı Meslek Y.O.;U.Ö.;"n
-";285,3761;1.037.000;100;100;0;%100,0;-165.625;-;277,4018;1.202.625;100;100;-;%100,0;-;Acil Durum ve Afet Yönetimi (UÖ) programı, afet önleme, müdahale ve iyileştirme süreçlerini kapsayan teorik ve pratik eğitim sunar.  Mezunlar kamu kurumlarında, özel sektörde ve uluslararası örgütlerde afet yönetimi uzmanlığı yapabilirler.  Yardımseverlik, problem çözme ve takım çalışması gibi hobileri olanlar için idealdir.
Zonguldak;110390237;AÇIK DENİZ SONDAJ TEKNOLOJİSİ;Devlet;Zonguldak Bülent Ecevit Ü.;".
Çaycuma Meslek Y.O.";Örgün;-;367,4187;298.900;30;30;0;%100,0;-36.133;-;363,5937;335.033;30;30;-;%100,0;-;petrol ve gaz arama-çıkarımında kullanılan teknolojileri kapsayan 2 yıllık bir programdır.  Öğrenciler sondaj operasyonları, ekipman bakımı ve güvenlik prosedürleri konusunda uzmanlaşırken, mezunlar deniz platformlarında ve sondaj şirketlerinde iş bulabilirler.  Mekanik yeteneği, problem çözme becerisi ve denizcilikle ilgisi olanlar için idealdir.
Zonguldak;110390244;AÇIK DENİZ TABANI UYGULAMALARI TEKNOLOJİSİ;Devlet;Zonguldak Bülent Ecevit Ü.;Çaycuma Meslek Y.O.;Örgün;-;354,4175;370.300;30;30;0;%100,0;-110.307;-;339,9854;480.607;30;30;-;%100,0;-;"Açık Deniz Tabanı Uygulamaları Teknolojisi, deniz altı araçlarının tasarımı, işletimi ve bakımı, oşinografik ölçümler ve deniz kaynaklarının yönetimi konularında uzmanlık sağlar.  Mezunlar denizcilik, enerji ve araştırma sektörlerinde iş bulur; dalış, teknoloji ve doğa bilimlerine ilgi duyan öğrenciler için idealdir"
Ankara;104850564;AĞIZ VE DİŞ SAĞLIĞI;Devlet;Hacettepe Ü.;Sağlık Hizmetleri Meslek Y.O.;Örgün;-;382,0721;231.900;40;40;0;%100,0;-59.322;-;372,7813;291.222;70;70;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
İstanbul;200590146;AĞIZ VE DİŞ SAĞLIĞI;Vakıf;"w
Bahçeşehir Ü.";Sağlık Hizmetleri Meslek Y.O.;Burslu;-;381,1971;235.500;4;4;0;%100,0;58.724;-;405,1523;176.776;3;3;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
İstanbul;200150652;AĞIZ VE DİŞ SAĞLIĞI;Vakıf;Acıbadem Mehmet Ali Aydınlar Ü.;Sağlık Hizmetleri Meslek Y.O.;Burslu;-;370,4158;284.100;6;6;0;%100,0;-50.461;-;363,6884;334.561;4;4;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
Ankara;104150914;AĞIZ VE DİŞ SAĞLIĞI;Devlet;Gazi Ü.;Sağlık Hizmetleri Meslek Y.O.;Örgün;-;367,9978;296.000;50;50;0;%100,0;-68.424;-;358,0751;364.424;75;75;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
Ankara;101150898;AĞIZ VE DİŞ SAĞLIĞI;Devlet;Ankara Ü.;Sağlık Hizmetleri Meslek Y.O.;Örgün;-;366,0257;305.600;50;50;0;%100,0;-72.901;-;355,5775;378.501;65;65;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
Diyarbakır;103050742;AĞIZ VE DİŞ SAĞLIĞI;Devlet;Dicle Ü.;Atatürk Sağlık Hizmetleri Meslek Y.O.;Örgün;-;364,5285;313.700;50;50;0;%100,0;-69.220;-;354,7992;382.920;70;70;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
Adana;102950666;AĞIZ VE DİŞ SAĞLIĞI;Devlet;Çukurova Ü.;Abdi Sütcü Sağlık Hizmetleri Meslek Y.O.;Örgün;-;363,1897;320.900;40;40;0;%100,0;-65.938;-;354,1492;386.838;50;50;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
İzmir;103190413;AĞIZ VE DİŞ SAĞLIĞI;Devlet;Dokuz Eylül Ü.;Sağlık Hizmetleri Meslek Y.O.;Örgün;-;360,6446;334.700;40;40;0;%100,0;-36.854;-;356,8121;371.554;60;60;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
Samsun;108251141;AĞIZ VE DİŞ SAĞLIĞI;Devlet;Ondokuz Mayıs Ü.;Sağlık Hizmetleri Meslek Y.O.;Örgün;-;360,5173;335.300;50;50;0;%100,0;-96.520;-;346,9642;431.820;70;70;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
Van;110290241;AĞIZ VE DİŞ SAĞLIĞI;Devlet;Van Yüzüncü Yıl Ü.;Van Sağlık Hizmetleri Meslek Y.O.;Örgün;-;360,3122;336.500;25;25;0;%100,0;-12.725;-;360,8869;349.225;25;25;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
Ankara;209210015;AĞIZ VE DİŞ SAĞLIĞI;Vakıf;Ankara Medipol Ü.;Sağlık Hizmetleri Meslek Y.O.;Burslu;-;360,0768;337.700;8;8;0;%100,0;-47.611;-;354,4003;385.311;8;8;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
İstanbul;111650078;AĞIZ VE DİŞ SAĞLIĞI;Devlet;İstanbul Ü.-Cerrahpaşa;Sağlık Hizmetleri Meslek Y.O.;Örgün;-;358,0675;349.100;40;40;0;%100,0;-51.466;-;351,8640;400.566;70;70;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
Kayseri;103550685;AĞIZ VE DİŞ SAĞLIĞI;Devlet;Erciyes Ü.;Halil Bayraktar Sağlık Hizmetleri Meslek Y.O.;Örgün;-;357,8319;350.400;50;50;0;%100,0;-74.535;-;348,0146;424.935;65;65;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
Ankara;111091390;AĞIZ VE DİŞ SAĞLIĞI;Devlet;Sağlık Bilimleri Ü.;Gülhane Sağlık Meslek Y.O.;Örgün;-;356,9944;355.300;50;50;0;%100,0;-58.962;-;349,6693;414.262;50;50;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
İstanbul;200950026;AĞIZ VE DİŞ SAĞLIĞI;Vakıf;Bezm-İ Alem Vakıf Ü.;Sağlık Hizmetleri Meslek Y.O.;Burslu;-;356,9878;355.300;7;7;0;%100,0;-28.073;-;354,7215;383.373;7;7;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
Ankara;110050058;AĞIZ VE DİŞ SAĞLIĞI;Devlet;Ankara Yıldırım Beyazıt Ü.;Sağlık Hizmetleri Meslek Y.O.;Örgün;-;354,9183;367.400;50;50;0;%100,0;-69.644;-;346,1780;437.044;65;65;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
Bursa;210000360;AĞIZ VE DİŞ SAĞLIĞI;Vakıf;Mudanya Ü.;Meslek Y.O.;Burslu;-;354,8516;367.800;4;4;0;%100,0;-52.619;-;348,7150;420.419;4;4;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
